n, t
0, 3166
1024, 29
2048, 6
3072, 5
4096, 6
5120, 6
6144, 6
7168, 7
8192, 7
9216, 11
10240, 8
11264, 10
12288, 8
13312, 9
14336, 9
15360, 9
16384, 9
17408, 9
18432, 10
19456, 10
20480, 10
21504, 10
22528, 11
23552, 11
24576, 11
25600, 11
26624, 12
27648, 12
28672, 12
29696, 27
30720, 13
31744, 14
32768, 13
33792, 13
34816, 13
35840, 16
36864, 14
37888, 14
38912, 14
39936, 16
40960, 15
41984, 14
43008, 15
44032, 16
45056, 15
46080, 16
47104, 16
48128, 17
49152, 16
50176, 17
51200, 16
52224, 19
53248, 17
54272, 19
55296, 18
56320, 19
57344, 18
58368, 32
59392, 18
60416, 22
61440, 19
62464, 20
63488, 19
64512, 21
65536, 20
66560, 20
67584, 20
68608, 22
69632, 21
70656, 20
71680, 21
72704, 22
73728, 22
74752, 22
75776, 23
76800, 23
77824, 22
78848, 22
79872, 23
80896, 24
81920, 27
82944, 23
83968, 24
84992, 32
86016, 25
87040, 25
88064, 25
89088, 26
90112, 24
91136, 27
92160, 26
93184, 27
94208, 26
95232, 26
96256, 27
97280, 28
98304, 26
99328, 27
100352, 27
101376, 28
102400, 28
103424, 28
104448, 27
105472, 29
106496, 28
107520, 29
108544, 29
109568, 30
110592, 29
111616, 29
112640, 29
113664, 31
114688, 29
115712, 34
116736, 30
117760, 32
118784, 31
119808, 31
120832, 31
121856, 33
122880, 31
123904, 32
124928, 32
125952, 33
126976, 33
128000, 32
129024, 33
130048, 34
131072, 33
132096, 34
133120, 45
134144, 98
135168, 89
136192, 38
137216, 35
138240, 36
139264, 35
140288, 35
141312, 35
142336, 37
143360, 36
144384, 36
145408, 36
146432, 38
147456, 36
148480, 37
149504, 62
150528, 39
151552, 38
152576, 38
153600, 38
154624, 39
155648, 38
156672, 39
157696, 40
158720, 40
159744, 40
160768, 40
161792, 41
162816, 42
163840, 40
164864, 40
165888, 41
166912, 42
167936, 41
168960, 41
169984, 41
171008, 42
172032, 41
173056, 42
174080, 42
175104, 43
176128, 43
177152, 43
178176, 43
179200, 44
180224, 54
181248, 44
182272, 44
183296, 45
184320, 44
185344, 44
186368, 45
187392, 46
188416, 45
189440, 45
190464, 45
191488, 48
192512, 46
193536, 46
194560, 46
195584, 47
196608, 48
197632, 47
198656, 47
199680, 48
200704, 47
201728, 50
202752, 48
203776, 49
204800, 48
205824, 49
206848, 49
207872, 53
208896, 50
209920, 49
210944, 50
211968, 51
212992, 51
214016, 51
215040, 52
216064, 52
217088, 51
218112, 51
219136, 51
220160, 53
221184, 52
222208, 68
223232, 52
224256, 55
225280, 53
226304, 53
227328, 53
228352, 54
229376, 54
230400, 55
231424, 56
232448, 56
233472, 56
234496, 57
235520, 57
236544, 57
237568, 56
238592, 55
239616, 55
240640, 58
241664, 57
242688, 57
243712, 57
244736, 58
245760, 58
246784, 58
247808, 58
248832, 59
249856, 58
250880, 58
251904, 58
252928, 61
253952, 59
254976, 59
256000, 59
257024, 61
258048, 60
259072, 60
260096, 60
261120, 61
262144, 60
263168, 61
264192, 61
265216, 63
266240, 63
267264, 63
268288, 62
269312, 165
270336, 132
271360, 66
272384, 63
273408, 65
274432, 64
275456, 63
276480, 63
277504, 65
278528, 64
279552, 65
280576, 65
281600, 65
282624, 65
283648, 67
284672, 65
285696, 66
286720, 83
287744, 66
288768, 66
289792, 69
290816, 68
291840, 67
292864, 66
293888, 68
294912, 70
295936, 69
296960, 70
297984, 78
299008, 68
300032, 69
301056, 70
302080, 72
303104, 69
304128, 71
305152, 70
306176, 72
307200, 72
308224, 71
309248, 71
310272, 72
311296, 73
312320, 72
313344, 71
314368, 73
315392, 72
316416, 73
317440, 72
318464, 73
319488, 73
320512, 73
321536, 73
322560, 75
323584, 75
324608, 75
325632, 74
326656, 78
327680, 76
328704, 75
329728, 75
330752, 77
331776, 76
332800, 76
333824, 76
334848, 80
335872, 76
336896, 78
337920, 78
338944, 78
339968, 79
340992, 79
342016, 78
343040, 79
344064, 79
345088, 78
346112, 78
347136, 81
348160, 78
349184, 80
350208, 79
351232, 81
352256, 80
353280, 80
354304, 81
355328, 82
356352, 81
357376, 82
358400, 81
359424, 87
360448, 83
361472, 82
362496, 82
363520, 84
364544, 83
365568, 84
366592, 83
367616, 105
368640, 84
369664, 85
370688, 84
371712, 88
372736, 84
373760, 85
374784, 85
375808, 89
376832, 86
377856, 87
378880, 87
379904, 91
380928, 88
381952, 88
382976, 88
384000, 89
385024, 88
386048, 89
387072, 89
388096, 94
389120, 89
390144, 90
391168, 89
392192, 91
393216, 89
394240, 89
395264, 89
396288, 94
397312, 90
398336, 90
399360, 91
400384, 93
401408, 90
402432, 91
403456, 91
404480, 230
405504, 203
406528, 94
407552, 93
408576, 94
409600, 96
410624, 93
411648, 93
412672, 95
413696, 94
414720, 94
415744, 95
416768, 97
417792, 94
418816, 96
419840, 94
420864, 96
421888, 97
422912, 95
423936, 385
424960, 340
425984, 401
427008, 4052
428032, 349
429056, 332
430080, 333
431104, 328
432128, 348
433152, 336
434176, 329
435200, 328
436224, 330
437248, 332
438272, 341
439296, 333
440320, 338
441344, 337
442368, 336
443392, 334
444416, 343
445440, 340
446464, 337
447488, 336
448512, 343
449536, 342
450560, 351
451584, 343
452608, 342
453632, 348
454656, 347
455680, 344
456704, 362
457728, 361
458752, 352
459776, 351
460800, 351
461824, 352
462848, 358
463872, 353
464896, 360
465920, 371
466944, 366
467968, 364
468992, 369
470016, 374
471040, 376
472064, 373
473088, 383
474112, 391
475136, 380
476160, 378
477184, 377
478208, 381
479232, 383
480256, 384
481280, 388
482304, 387
483328, 385
484352, 391
485376, 389
486400, 394
487424, 391
488448, 390
489472, 399
