n, t
490496, 395
491520, 399
492544, 396
493568, 395
494592, 421
495616, 398
496640, 398
497664, 408
498688, 409
499712, 412
500736, 404
501760, 407
502784, 411
503808, 410
504832, 411
505856, 414
506880, 414
507904, 413
508928, 413
509952, 417
510976, 419
512000, 422
513024, 421
514048, 479
515072, 429
516096, 428
517120, 432
518144, 428
519168, 433
520192, 430
521216, 430
522240, 435
523264, 440
524288, 437
525312, 436
526336, 438
527360, 440
528384, 457
529408, 442
530432, 451
531456, 452
532480, 449
533504, 451
534528, 451
535552, 459
536576, 455
537600, 453
538624, 460
539648, 542
540672, 581
541696, 514
542720, 464
543744, 471
544768, 466
545792, 472
546816, 478
547840, 473
548864, 472
549888, 494
550912, 473
551936, 477
552960, 476
553984, 486
555008, 482
556032, 484
557056, 482
558080, 496
559104, 482
560128, 490
561152, 505
562176, 6726
563200, 499
564224, 494
565248, 487
566272, 501
567296, 489
568320, 491
569344, 488
570368, 492
571392, 492
572416, 495
573440, 492
574464, 554
575488, 493
576512, 500
577536, 495
578560, 526
579584, 500
580608, 502
581632, 503
582656, 501
583680, 506
584704, 501
585728, 498
586752, 505
587776, 505
588800, 490
589824, 501
590848, 506
591872, 497
592896, 501
593920, 497
594944, 526
595968, 507
596992, 510
598016, 500
599040, 504
600064, 507
601088, 514
602112, 508
603136, 512
604160, 515
605184, 520
606208, 516
607232, 515
608256, 517
609280, 522
610304, 533
611328, 517
612352, 531
613376, 522
614400, 535
615424, 521
616448, 526
617472, 532
618496, 536
619520, 529
620544, 532
621568, 531
622592, 533
623616, 531
624640, 535
625664, 536
626688, 535
627712, 533
628736, 546
629760, 560
630784, 540
631808, 539
632832, 536
633856, 551
634880, 543
635904, 544
636928, 547
637952, 552
638976, 549
640000, 551
641024, 591
642048, 557
643072, 558
644096, 555
645120, 564
646144, 558
647168, 563
648192, 592
649216, 562
650240, 563
651264, 556
652288, 557
653312, 560
654336, 561
655360, 598
656384, 560
657408, 560
658432, 567
659456, 568
660480, 568
661504, 576
662528, 589
663552, 574
664576, 571
665600, 573
666624, 578
667648, 576
668672, 574
669696, 599
670720, 580
671744, 577
672768, 570
673792, 574
674816, 691
675840, 768
676864, 642
677888, 581
678912, 578
679936, 603
680960, 609
681984, 610
683008, 606
684032, 581
685056, 601
686080, 615
687104, 588
688128, 620
689152, 613
690176, 620
691200, 619
692224, 624
693248, 627
694272, 622
695296, 627
696320, 767
697344, 9192
698368, 652
699392, 636
700416, 638
701440, 657
702464, 639
703488, 642
704512, 645
705536, 642
706560, 642
707584, 639
708608, 643
709632, 636
710656, 645
711680, 652
712704, 651
713728, 644
714752, 649
715776, 646
716800, 645
717824, 641
718848, 647
719872, 651
720896, 660
721920, 649
722944, 650
723968, 661
724992, 645
726016, 650
727040, 666
728064, 649
729088, 651
730112, 659
731136, 645
732160, 653
733184, 691
734208, 651
735232, 661
736256, 678
737280, 659
738304, 653
739328, 668
740352, 657
741376, 657
742400, 665
743424, 662
744448, 660
745472, 666
746496, 652
747520, 661
748544, 690
749568, 664
750592, 661
751616, 701
752640, 668
753664, 673
754688, 690
755712, 668
756736, 674
757760, 684
758784, 668
759808, 684
760832, 729
761856, 733
762880, 680
763904, 676
764928, 667
765952, 661
766976, 687
768000, 703
769024, 655
770048, 655
771072, 613
772096, 606
773120, 650
774144, 604
775168, 601
776192, 670
777216, 595
778240, 598
779264, 629
780288, 599
781312, 610
782336, 596
783360, 600
784384, 612
785408, 608
786432, 603
787456, 599
788480, 607
789504, 668
790528, 605
791552, 603
792576, 649
793600, 664
794624, 620
795648, 608
796672, 609
797696, 621
798720, 610
799744, 614
800768, 627
801792, 611
802816, 680
803840, 599
804864, 596
805888, 638
806912, 594
807936, 597
808960, 598
809984, 748
811008, 825
812032, 711
813056, 594
814080, 602
815104, 669
816128, 604
817152, 610
818176, 607
819200, 612
820224, 606
821248, 608
822272, 625
823296, 615
824320, 615
825344, 666
826368, 624
827392, 622
828416, 678
829440, 620
830464, 626
831488, 764
832512, 8935
833536, 675
834560, 678
835584, 637
836608, 624
837632, 635
838656, 630
839680, 661
840704, 633
841728, 664
842752, 668
843776, 671
844800, 659
845824, 664
846848, 640
847872, 659
848896, 660
849920, 669
850944, 663
851968, 667
852992, 683
854016, 662
855040, 667
856064, 686
857088, 664
858112, 678
859136, 681
860160, 672
861184, 677
862208, 677
863232, 684
864256, 687
865280, 684
866304, 688
867328, 692
868352, 695
869376, 688
870400, 688
871424, 704
872448, 696
873472, 714
874496, 695
875520, 694
876544, 696
877568, 685
878592, 692
879616, 715
880640, 699
881664, 705
882688, 713
883712, 702
884736, 705
885760, 702
886784, 704
887808, 707
888832, 711
889856, 710
890880, 740
891904, 715
892928, 715
893952, 731
894976, 712
896000, 716
897024, 721
898048, 706
899072, 718
900096, 713
901120, 722
902144, 709
903168, 714
904192, 719
905216, 728
906240, 755
907264, 782
908288, 747
909312, 722
910336, 717
911360, 712
912384, 716
913408, 703
914432, 696
915456, 700
916480, 705
917504, 703
918528, 705
919552, 715
920576, 708
921600, 709
922624, 718
923648, 709
924672, 715
925696, 716
926720, 705
927744, 704
928768, 708
929792, 704
930816, 700
931840, 716
932864, 709
933888, 715
934912, 704
935936, 707
936960, 733
937984, 707
939008, 709
940032, 740
941056, 714
942080, 708
943104, 710
944128, 704
945152, 926
946176, 1029
947200, 808
948224, 711
949248, 709
950272, 727
951296, 714
952320, 721
953344, 753
954368, 722
955392, 716
956416, 725
957440, 726
958464, 729
959488, 713
960512, 720
961536, 732
962560, 724
963584, 724
964608, 813
965632, 746
966656, 992
967680, 10008
968704, 693
969728, 675
970752, 690
971776, 659
972800, 666
973824, 690
974848, 710
975872, 652
976896, 662
977920, 649
978944, 644
979968, 652
980992, 643
982016, 642
983040, 670
984064, 637
985088, 637
986112, 658
987136, 639
988160, 638
989184, 670
990208, 645
991232, 684
992256, 671
993280, 645
994304, 647
995328, 658
996352, 648
997376, 654
998400, 659
999424, 1036
1000448, 670
1001472, 659
1002496, 663
1003520, 660
1004544, 665
1005568, 667
1006592, 673
1007616, 673
1008640, 674
1009664, 676
1010688, 684
1011712, 707
1012736, 716
1013760, 715
1014784, 717
1015808, 740
1016832, 683
1017856, 715
1018880, 742
1019904, 718
1020928, 719
1021952, 744
1022976, 729
1024000, 722
1025024, 721
1026048, 718
1027072, 733
1028096, 734
1029120, 726
1030144, 751
1031168, 729
1032192, 730
1033216, 737
1034240, 731
1035264, 748
1036288, 730
1037312, 732
1038336, 751
1039360, 746
1040384, 745
1041408, 771
1042432, 743
1043456, 751
1044480, 744
1045504, 739
1046528, 760
1047552, 748
1048576, 751
