n, t
544768, 255
545792, 254
546816, 258
547840, 259
548864, 256
549888, 256
550912, 258
551936, 257
552960, 259
553984, 258
555008, 257
556032, 261
557056, 257
558080, 260
559104, 261
560128, 262
561152, 265
562176, 263
563200, 266
564224, 260
565248, 261
566272, 261
567296, 260
568320, 263
569344, 264
570368, 266
571392, 272
572416, 263
573440, 265
574464, 263
575488, 267
576512, 265
577536, 266
578560, 268
579584, 265
580608, 266
581632, 262
582656, 267
583680, 268
584704, 269
585728, 265
586752, 271
587776, 266
588800, 269
589824, 269
590848, 268
591872, 269
592896, 271
593920, 269
594944, 267
595968, 271
596992, 271
598016, 273
599040, 273
600064, 273
601088, 276
602112, 273
603136, 275
604160, 275
605184, 274
606208, 275
607232, 277
608256, 277
609280, 276
610304, 278
611328, 275
612352, 279
613376, 278
614400, 279
615424, 277
616448, 282
617472, 277
618496, 282
619520, 280
620544, 282
621568, 278
622592, 282
623616, 287
624640, 282
625664, 282
626688, 285
627712, 286
628736, 283
629760, 283
630784, 413
631808, 330
632832, 330
633856, 331
634880, 332
635904, 334
636928, 329
637952, 326
638976, 333
640000, 329
641024, 330
642048, 415
643072, 333
644096, 352
645120, 318
646144, 282
647168, 282
648192, 279
649216, 280
650240, 286
651264, 279
652288, 281
653312, 284
654336, 283
655360, 283
656384, 282
657408, 288
658432, 287
659456, 287
660480, 285
661504, 289
662528, 285
663552, 288
664576, 288
665600, 287
666624, 288
667648, 285
668672, 288
669696, 291
670720, 289
671744, 288
672768, 287
673792, 367
674816, 324
675840, 399
676864, 332
677888, 292
678912, 295
679936, 291
680960, 292
681984, 294
683008, 296
684032, 294
685056, 292
686080, 300
687104, 294
688128, 294
689152, 297
690176, 297
691200, 296
692224, 299
693248, 296
694272, 297
695296, 297
696320, 296
697344, 297
698368, 299
699392, 295
700416, 298
701440, 301
702464, 302
703488, 302
704512, 298
705536, 298
706560, 301
707584, 300
708608, 304
709632, 301
710656, 304
711680, 304
712704, 303
713728, 303
714752, 303
715776, 304
716800, 302
717824, 300
718848, 306
719872, 305
720896, 307
721920, 304
722944, 310
723968, 306
724992, 310
726016, 307
727040, 309
728064, 305
729088, 306
730112, 306
731136, 307
732160, 307
733184, 304
734208, 306
735232, 311
736256, 312
737280, 312
738304, 310
739328, 312
740352, 310
741376, 313
742400, 311
743424, 311
744448, 314
745472, 313
746496, 310
747520, 310
748544, 310
749568, 312
750592, 312
751616, 311
752640, 311
753664, 312
754688, 312
755712, 318
756736, 313
757760, 317
758784, 310
759808, 315
760832, 313
761856, 314
762880, 310
763904, 314
764928, 314
765952, 313
766976, 317
768000, 316
769024, 317
770048, 311
771072, 315
772096, 317
773120, 319
774144, 315
775168, 323
776192, 313
777216, 319
778240, 317
779264, 319
780288, 317
781312, 319
782336, 317
783360, 317
784384, 324
785408, 321
786432, 325
787456, 322
788480, 320
789504, 322
790528, 323
791552, 324
792576, 327
793600, 326
794624, 323
795648, 321
796672, 327
797696, 323
798720, 327
799744, 328
800768, 324
801792, 328
802816, 327
803840, 328
804864, 329
805888, 331
806912, 332
807936, 329
808960, 429
809984, 361
811008, 420
812032, 375
813056, 329
