n, t
544768, 255
545792, 264
546816, 263
547840, 263
548864, 263
549888, 259
550912, 262
551936, 259
552960, 262
553984, 265
555008, 265
556032, 259
557056, 265
558080, 265
559104, 265
560128, 266
561152, 262
562176, 267
563200, 264
564224, 264
565248, 266
566272, 269
567296, 267
568320, 267
569344, 266
570368, 274
571392, 246
572416, 244
573440, 247
574464, 242
575488, 245
576512, 245
577536, 249
578560, 249
579584, 249
580608, 248
581632, 248
582656, 248
583680, 248
584704, 250
585728, 253
586752, 258
587776, 250
588800, 250
589824, 251
590848, 251
591872, 249
592896, 251
593920, 252
594944, 255
595968, 253
596992, 251
598016, 255
599040, 252
600064, 253
601088, 254
602112, 254
603136, 256
604160, 255
605184, 254
606208, 256
607232, 253
608256, 256
609280, 256
610304, 258
611328, 261
612352, 256
613376, 258
614400, 260
615424, 256
616448, 258
617472, 259
618496, 261
619520, 261
620544, 260
621568, 261
622592, 262
623616, 260
624640, 260
625664, 259
626688, 265
627712, 265
628736, 261
629760, 262
630784, 265
631808, 262
632832, 264
633856, 261
634880, 269
635904, 261
636928, 262
637952, 263
638976, 265
640000, 265
641024, 265
642048, 269
643072, 266
644096, 268
645120, 266
646144, 267
647168, 271
648192, 267
649216, 268
650240, 271
651264, 270
652288, 270
653312, 267
654336, 270
655360, 270
656384, 269
657408, 267
658432, 270
659456, 270
660480, 271
661504, 272
662528, 270
663552, 274
664576, 272
665600, 274
666624, 270
667648, 269
668672, 273
669696, 272
670720, 274
671744, 272
672768, 278
673792, 376
674816, 301
675840, 341
676864, 314
677888, 276
678912, 275
679936, 277
680960, 277
681984, 276
683008, 277
684032, 276
685056, 277
686080, 282
687104, 276
688128, 278
689152, 279
690176, 278
691200, 279
692224, 279
693248, 280
694272, 279
695296, 279
696320, 280
697344, 281
698368, 280
699392, 280
700416, 282
701440, 286
702464, 282
703488, 282
704512, 281
705536, 284
706560, 283
707584, 283
708608, 290
709632, 281
710656, 284
711680, 285
712704, 282
713728, 286
714752, 285
715776, 287
716800, 287
717824, 284
718848, 285
719872, 286
720896, 285
721920, 288
722944, 291
723968, 287
724992, 289
726016, 289
727040, 286
728064, 287
729088, 290
730112, 288
731136, 291
732160, 289
733184, 288
734208, 289
735232, 288
736256, 291
737280, 387
738304, 347
739328, 347
740352, 347
741376, 347
742400, 349
743424, 350
744448, 346
745472, 350
746496, 345
747520, 346
748544, 349
749568, 351
750592, 348
751616, 316
752640, 296
753664, 295
754688, 298
755712, 296
756736, 296
757760, 298
758784, 295
759808, 299
760832, 298
761856, 304
762880, 300
763904, 298
764928, 298
765952, 299
766976, 299
768000, 300
769024, 299
770048, 302
771072, 302
772096, 300
773120, 299
774144, 302
775168, 300
776192, 301
777216, 301
778240, 304
779264, 304
780288, 301
781312, 302
782336, 307
783360, 306
784384, 304
785408, 307
786432, 304
787456, 304
788480, 306
789504, 305
790528, 304
791552, 304
792576, 307
793600, 302
794624, 310
795648, 308
796672, 306
797696, 307
798720, 307
799744, 310
800768, 308
801792, 308
802816, 309
803840, 307
804864, 308
805888, 310
806912, 309
807936, 313
808960, 436
809984, 341
811008, 414
812032, 355
813056, 310
814080, 313
815104, 312
816128, 315
817152, 313
818176, 315
819200, 312
820224, 317
821248, 313
822272, 313
823296, 316
824320, 316
825344, 314
826368, 317
827392, 323
828416, 316
829440, 316
830464, 315
831488, 316
832512, 316
833536, 319
834560, 320
835584, 317
836608, 319
837632, 319
838656, 317
839680, 318
840704, 320
841728, 319
842752, 321
843776, 321
844800, 320
845824, 320
846848, 320
847872, 320
848896, 323
849920, 324
850944, 324
851968, 323
852992, 326
854016, 321
855040, 320
856064, 321
857088, 322
858112, 324
859136, 326
860160, 326
861184, 325
862208, 322
863232, 324
864256, 326
865280, 326
866304, 327
867328, 325
868352, 327
869376, 327
870400, 325
871424, 328
872448, 325
873472, 328
874496, 328
875520, 327
876544, 332
877568, 326
878592, 328
879616, 328
880640, 329
881664, 329
882688, 327
883712, 330
884736, 332
885760, 328
886784, 330
887808, 330
888832, 331
889856, 336
890880, 329
891904, 331
892928, 333
893952, 330
894976, 332
896000, 331
897024, 333
898048, 336
899072, 333
900096, 332
901120, 333
902144, 337
903168, 334
904192, 334
905216, 334
906240, 337
907264, 335
908288, 336
909312, 338
910336, 334
911360, 335
912384, 336
913408, 337
914432, 340
915456, 339
916480, 337
917504, 339
918528, 337
919552, 339
920576, 336
921600, 338
922624, 336
923648, 335
924672, 338
925696, 341
926720, 339
927744, 340
928768, 338
929792, 341
930816, 340
931840, 338
932864, 338
933888, 338
934912, 341
935936, 340
936960, 345
937984, 344
939008, 338
940032, 341
941056, 344
942080, 347
943104, 342
944128, 487
945152, 378
946176, 445
947200, 390
948224, 345
949248, 350
950272, 343
951296, 346
952320, 345
953344, 344
954368, 345
955392, 347
956416, 344
957440, 346
958464, 347
959488, 346
960512, 347
961536, 345
962560, 345
963584, 348
964608, 351
965632, 349
966656, 349
967680, 349
968704, 349
969728, 349
970752, 350
971776, 351
972800, 356
973824, 349
974848, 353
975872, 353
976896, 351
977920, 353
978944, 349
979968, 355
980992, 351
982016, 353
983040, 351
984064, 354
985088, 357
986112, 353
987136, 353
988160, 354
989184, 356
990208, 356
991232, 356
992256, 353
993280, 354
994304, 353
995328, 355
996352, 357
997376, 352
998400, 357
999424, 355
1000448, 356
1001472, 356
1002496, 361
1003520, 360
1004544, 359
1005568, 359
1006592, 356
1007616, 362
1008640, 357
1009664, 359
1010688, 362
1011712, 356
1012736, 358
1013760, 369
1014784, 360
1015808, 364
1016832, 359
1017856, 362
1018880, 360
1019904, 362
1020928, 362
1021952, 364
1022976, 362
1024000, 365
1025024, 363
1026048, 361
1027072, 362
1028096, 364
1029120, 363
1030144, 364
1031168, 363
1032192, 365
1033216, 363
1034240, 365
1035264, 366
1036288, 368
1037312, 370
1038336, 367
1039360, 364
1040384, 370
1041408, 364
1042432, 366
1043456, 367
1044480, 365
1045504, 368
1046528, 371
1047552, 372
1048576, 371
